o : 0, h : 0, w : 0, ich : 0, kh : 0, kw : 0, ph : -1, pw : -1, pix_idx : -29, weight_idx : 0
o : 0, h : 0, w : 0, ich : 0, kh : 0, kw : 1, ph : -1, pw : 0, pix_idx : -28, weight_idx : 1
o : 0, h : 0, w : 0, ich : 0, kh : 0, kw : 2, ph : -1, pw : 1, pix_idx : -27, weight_idx : 2
o : 0, h : 0, w : 0, ich : 0, kh : 1, kw : 0, ph : 0, pw : -1, pix_idx : -1, weight_idx : 3
o : 0, h : 0, w : 0, ich : 0, kh : 1, kw : 1, ph : 0, pw : 0, pix_idx : 0, weight_idx : 4
o : 0, h : 0, w : 0, ich : 0, kh : 1, kw : 2, ph : 0, pw : 1, pix_idx : 1, weight_idx : 5
o : 0, h : 0, w : 0, ich : 0, kh : 2, kw : 0, ph : 1, pw : -1, pix_idx : 27, weight_idx : 6
o : 0, h : 0, w : 0, ich : 0, kh : 2, kw : 1, ph : 1, pw : 0, pix_idx : 28, weight_idx : 7
o : 0, h : 0, w : 0, ich : 0, kh : 2, kw : 2, ph : 1, pw : 1, pix_idx : 29, weight_idx : 8
wが0の時
o : 0, h : 0, w : 1, ich : 0, kh : 0, kw : 0, ph : -1, pw : 0, pix_idx : -28, weight_idx : 0
o : 0, h : 0, w : 1, ich : 0, kh : 0, kw : 1, ph : -1, pw : 1, pix_idx : -27, weight_idx : 1
o : 0, h : 0, w : 1, ich : 0, kh : 0, kw : 2, ph : -1, pw : 2, pix_idx : -26, weight_idx : 2
o : 0, h : 0, w : 1, ich : 0, kh : 1, kw : 0, ph : 0, pw : 0, pix_idx : 0, weight_idx : 3
o : 0, h : 0, w : 1, ich : 0, kh : 1, kw : 1, ph : 0, pw : 1, pix_idx : 1, weight_idx : 4
o : 0, h : 0, w : 1, ich : 0, kh : 1, kw : 2, ph : 0, pw : 2, pix_idx : 2, weight_idx : 5
o : 0, h : 0, w : 1, ich : 0, kh : 2, kw : 0, ph : 1, pw : 0, pix_idx : 28, weight_idx : 6
o : 0, h : 0, w : 1, ich : 0, kh : 2, kw : 1, ph : 1, pw : 1, pix_idx : 29, weight_idx : 7
o : 0, h : 0, w : 1, ich : 0, kh : 2, kw : 2, ph : 1, pw : 2, pix_idx : 30, weight_idx : 8
wが1の時
o : 0, h : 0, w : 2, ich : 0, kh : 0, kw : 0, ph : -1, pw : 1, pix_idx : -27, weight_idx : 0
o : 0, h : 0, w : 2, ich : 0, kh : 0, kw : 1, ph : -1, pw : 2, pix_idx : -26, weight_idx : 1
o : 0, h : 0, w : 2, ich : 0, kh : 0, kw : 2, ph : -1, pw : 3, pix_idx : -25, weight_idx : 2
o : 0, h : 0, w : 2, ich : 0, kh : 1, kw : 0, ph : 0, pw : 1, pix_idx : 1, weight_idx : 3
o : 0, h : 0, w : 2, ich : 0, kh : 1, kw : 1, ph : 0, pw : 2, pix_idx : 2, weight_idx : 4
o : 0, h : 0, w : 2, ich : 0, kh : 1, kw : 2, ph : 0, pw : 3, pix_idx : 3, weight_idx : 5
o : 0, h : 0, w : 2, ich : 0, kh : 2, kw : 0, ph : 1, pw : 1, pix_idx : 29, weight_idx : 6
o : 0, h : 0, w : 2, ich : 0, kh : 2, kw : 1, ph : 1, pw : 2, pix_idx : 30, weight_idx : 7
o : 0, h : 0, w : 2, ich : 0, kh : 2, kw : 2, ph : 1, pw : 3, pix_idx : 31, weight_idx : 8
wが2の時
o : 0, h : 0, w : 3, ich : 0, kh : 0, kw : 0, ph : -1, pw : 2, pix_idx : -26, weight_idx : 0
o : 0, h : 0, w : 3, ich : 0, kh : 0, kw : 1, ph : -1, pw : 3, pix_idx : -25, weight_idx : 1
o : 0, h : 0, w : 3, ich : 0, kh : 0, kw : 2, ph : -1, pw : 4, pix_idx : -24, weight_idx : 2
o : 0, h : 0, w : 3, ich : 0, kh : 1, kw : 0, ph : 0, pw : 2, pix_idx : 2, weight_idx : 3
o : 0, h : 0, w : 3, ich : 0, kh : 1, kw : 1, ph : 0, pw : 3, pix_idx : 3, weight_idx : 4
o : 0, h : 0, w : 3, ich : 0, kh : 1, kw : 2, ph : 0, pw : 4, pix_idx : 4, weight_idx : 5
o : 0, h : 0, w : 3, ich : 0, kh : 2, kw : 0, ph : 1, pw : 2, pix_idx : 30, weight_idx : 6
o : 0, h : 0, w : 3, ich : 0, kh : 2, kw : 1, ph : 1, pw : 3, pix_idx : 31, weight_idx : 7
o : 0, h : 0, w : 3, ich : 0, kh : 2, kw : 2, ph : 1, pw : 4, pix_idx : 32, weight_idx : 8
wが3の時
o : 0, h : 0, w : 4, ich : 0, kh : 0, kw : 0, ph : -1, pw : 3, pix_idx : -25, weight_idx : 0
o : 0, h : 0, w : 4, ich : 0, kh : 0, kw : 1, ph : -1, pw : 4, pix_idx : -24, weight_idx : 1
o : 0, h : 0, w : 4, ich : 0, kh : 0, kw : 2, ph : -1, pw : 5, pix_idx : -23, weight_idx : 2
o : 0, h : 0, w : 4, ich : 0, kh : 1, kw : 0, ph : 0, pw : 3, pix_idx : 3, weight_idx : 3
o : 0, h : 0, w : 4, ich : 0, kh : 1, kw : 1, ph : 0, pw : 4, pix_idx : 4, weight_idx : 4
o : 0, h : 0, w : 4, ich : 0, kh : 1, kw : 2, ph : 0, pw : 5, pix_idx : 5, weight_idx : 5
